@timestamp,@duration
2021-08-13 00:39:51.979,37.93
2021-08-13 00:39:51.962,20.76
2021-08-13 00:39:51.874,32.14
2021-08-13 00:39:51.799,40.08
2021-08-13 00:39:51.719,42.96
2021-08-13 00:39:51.701,31.52
2021-08-13 00:39:51.604,47.87
2021-08-13 00:39:51.475,49.55
2021-08-13 00:39:51.419,55.63
2021-08-13 00:39:51.380,16.49
2021-08-13 00:39:51.370,40.36
2021-08-13 00:39:51.360,26.5
2021-08-13 00:39:51.272,33.1
2021-08-13 00:39:51.231,41.98
2021-08-13 00:39:51.070,36.37
2021-08-13 00:39:51.044,68.02
2021-08-13 00:39:50.959,20.24
2021-08-13 00:39:50.832,90.33
2021-08-13 00:39:50.831,36.17
2021-08-13 00:39:50.830,19.22
2021-08-13 00:39:50.770,38.08
2021-08-13 00:39:50.514,40.36
2021-08-13 00:39:50.513,23.87
2021-08-13 00:39:50.370,57.16
2021-08-13 00:39:50.253,31.48
2021-08-13 00:39:50.240,50.34
2021-08-13 00:39:50.120,35.96
2021-08-13 00:39:50.000,43.96
2021-08-13 00:39:50.000,59.19
2021-08-13 00:39:49.999,23.09
2021-08-13 00:39:49.943,19.88
2021-08-13 00:39:49.939,19.27
2021-08-13 00:39:49.918,26.3
2021-08-13 00:39:49.864,115.09
2021-08-13 00:39:49.840,30.66
2021-08-13 00:39:49.739,30.86
2021-08-13 00:39:49.705,29.71
2021-08-13 00:39:49.657,22.16
2021-08-13 00:39:49.647,44.71
2021-08-13 00:39:49.432,68.22
2021-08-13 00:39:49.382,31.23
2021-08-13 00:39:49.370,46.11
2021-08-13 00:39:49.366,216.7
2021-08-13 00:39:49.359,42.24
2021-08-13 00:39:49.312,49.35
2021-08-13 00:39:49.299,38.95
2021-08-13 00:39:49.270,27.95
2021-08-13 00:39:49.256,21.48
2021-08-13 00:39:49.256,25.94
2021-08-13 00:39:49.173,24.59
2021-08-13 00:39:49.076,54.7
2021-08-13 00:39:49.056,26.33
2021-08-13 00:39:49.016,29.89
2021-08-13 00:39:48.996,48.28
2021-08-13 00:39:48.990,20.84
2021-08-13 00:39:48.939,17.76
2021-08-13 00:39:48.921,71.6
2021-08-13 00:39:48.858,35.74
2021-08-13 00:39:48.830,29.06
2021-08-13 00:39:48.696,30.37
2021-08-13 00:39:48.640,25.49
2021-08-13 00:39:48.455,23.55
2021-08-13 00:39:48.311,42.66
2021-08-13 00:39:48.090,39.13
2021-08-13 00:39:48.059,25.25
2021-08-13 00:39:47.959,32.21
2021-08-13 00:39:47.933,18.67
2021-08-13 00:39:47.929,25.37
2021-08-13 00:39:47.918,40.45
2021-08-13 00:39:47.718,37.12
2021-08-13 00:39:47.557,36.33
2021-08-13 00:39:47.477,44.6
2021-08-13 00:39:47.436,25.78
2021-08-13 00:39:47.413,35.76
2021-08-13 00:39:47.358,36.5
2021-08-13 00:39:47.316,39.9
2021-08-13 00:39:47.273,63.04
2021-08-13 00:39:47.272,43.05
2021-08-13 00:39:47.242,27.53
2021-08-13 00:39:47.201,24.18
2021-08-13 00:39:47.095,44.27
2021-08-13 00:39:47.015,73.08
2021-08-13 00:39:46.998,24.08
2021-08-13 00:39:46.895,37.19
2021-08-13 00:39:46.775,34.09
2021-08-13 00:39:46.705,68.94
2021-08-13 00:39:46.640,58.09
2021-08-13 00:39:46.590,21.95
2021-08-13 00:39:46.535,44.47
2021-08-13 00:39:46.526,18.52
2021-08-13 00:39:46.377,33.64
2021-08-13 00:39:46.358,30.77
2021-08-13 00:39:46.336,35.4
2021-08-13 00:39:46.236,35.44
2021-08-13 00:39:46.217,32.95
2021-08-13 00:39:46.202,53.25
2021-08-13 00:39:46.177,31.85
2021-08-13 00:39:46.158,18.65
2021-08-13 00:39:46.135,29.08
2021-08-13 00:39:46.120,60.12
2021-08-13 00:39:45.980,32
2021-08-13 00:39:45.979,26.15
2021-08-13 00:39:45.946,18.71
2021-08-13 00:39:45.939,30.13
2021-08-13 00:39:45.930,31.16
2021-08-13 00:39:45.791,39.72
2021-08-13 00:39:45.791,20.96
2021-08-13 00:39:45.775,30.27
2021-08-13 00:39:45.615,31.73
2021-08-13 00:39:45.613,29.58
2021-08-13 00:39:45.496,25.22
2021-08-13 00:39:45.491,29.12
2021-08-13 00:39:45.370,39.29
2021-08-13 00:39:45.281,21.82
2021-08-13 00:39:45.230,65.97
2021-08-13 00:39:45.155,40.07
2021-08-13 00:39:45.154,27.32
2021-08-13 00:39:45.030,85.71
2021-08-13 00:39:44.976,30.31
2021-08-13 00:39:44.958,32.41
2021-08-13 00:39:44.913,23.07
2021-08-13 00:39:44.860,47.86
2021-08-13 00:39:44.838,162.83
2021-08-13 00:39:44.798,46.4
2021-08-13 00:39:44.740,45.03
2021-08-13 00:39:44.729,41.78
2021-08-13 00:39:44.704,77.98
2021-08-13 00:39:44.698,40.93
2021-08-13 00:39:44.580,30.46
2021-08-13 00:39:44.573,28.96
2021-08-13 00:39:44.556,33.94
2021-08-13 00:39:44.533,100.67
2021-08-13 00:39:44.453,47.8
2021-08-13 00:39:44.419,33.02
2021-08-13 00:39:44.395,64.45
2021-08-13 00:39:44.287,27.26
2021-08-13 00:39:44.259,42.93
2021-08-13 00:39:44.237,28.94
2021-08-13 00:39:44.209,36.96
2021-08-13 00:39:44.098,20
2021-08-13 00:39:44.039,47
2021-08-13 00:39:44.036,32.88
2021-08-13 00:39:43.999,44.1
2021-08-13 00:39:43.981,20.57
2021-08-13 00:39:43.975,37.15
2021-08-13 00:39:43.971,26.29
2021-08-13 00:39:43.899,22.51
2021-08-13 00:39:43.792,22.91
2021-08-13 00:39:43.789,35.71
2021-08-13 00:39:43.750,30.41
2021-08-13 00:39:43.691,29.87
2021-08-13 00:39:43.681,20.59
2021-08-13 00:39:43.661,45.96
2021-08-13 00:39:43.544,56.08
2021-08-13 00:39:43.510,29.93
2021-08-13 00:39:43.461,20.56
2021-08-13 00:39:43.447,26.07
2021-08-13 00:39:43.401,46.22
2021-08-13 00:39:43.370,54.92
2021-08-13 00:39:43.270,74.31
2021-08-13 00:39:43.190,32.23
2021-08-13 00:39:43.182,24.27
2021-08-13 00:39:43.176,42.61
2021-08-13 00:39:43.132,35.74
2021-08-13 00:39:43.104,19.35
2021-08-13 00:39:42.936,26.89
2021-08-13 00:39:42.876,28.85
2021-08-13 00:39:42.870,34.33
2021-08-13 00:39:42.810,24.46
2021-08-13 00:39:42.770,30.02
2021-08-13 00:39:42.751,22.81
2021-08-13 00:39:42.696,46.18
2021-08-13 00:39:42.556,28.7
2021-08-13 00:39:42.549,33.41
2021-08-13 00:39:42.489,44.13
2021-08-13 00:39:42.407,30.18
2021-08-13 00:39:42.270,41.67
2021-08-13 00:39:42.076,19.67
2021-08-13 00:39:42.012,42.78
2021-08-13 00:39:42.009,17.96
2021-08-13 00:39:41.977,37.64
2021-08-13 00:39:41.576,27.74
2021-08-13 00:39:41.465,44.28
2021-08-13 00:39:41.432,30.57
2021-08-13 00:39:41.330,53
2021-08-13 00:39:41.301,46
2021-08-13 00:39:41.274,20.21
2021-08-13 00:39:41.270,29.7
2021-08-13 00:39:41.259,37.51
2021-08-13 00:39:41.258,39.14
2021-08-13 00:39:41.233,25.81
2021-08-13 00:39:41.229,116.63
2021-08-13 00:39:41.111,111.63
2021-08-13 00:39:41.087,93.19
2021-08-13 00:39:41.024,73.55
2021-08-13 00:39:40.999,35.62
2021-08-13 00:39:40.996,46.46
2021-08-13 00:39:40.898,33.5
2021-08-13 00:39:40.875,36.01
2021-08-13 00:39:40.859,46.32
2021-08-13 00:39:40.783,51.22
2021-08-13 00:39:40.782,56.97
2021-08-13 00:39:40.676,39.3
2021-08-13 00:39:40.654,37.31
2021-08-13 00:39:40.598,41.3
2021-08-13 00:39:40.500,30.36
2021-08-13 00:39:40.458,40.04
2021-08-13 00:39:40.436,37.83
2021-08-13 00:39:40.358,25.71
2021-08-13 00:39:40.279,22.53
2021-08-13 00:39:40.216,40.11
2021-08-13 00:39:40.116,38.82
2021-08-13 00:39:40.019,37
2021-08-13 00:39:40.018,46.41
2021-08-13 00:39:39.973,51.57
2021-08-13 00:39:39.960,18.91
2021-08-13 00:39:39.916,38.41
2021-08-13 00:39:39.898,37.57
2021-08-13 00:39:39.884,20.64
2021-08-13 00:39:39.848,56.65
2021-08-13 00:39:39.758,50.03
2021-08-13 00:39:39.697,39.98
2021-08-13 00:39:39.541,37.82
2021-08-13 00:39:39.217,38.93
2021-08-13 00:39:39.181,44.49
2021-08-13 00:39:39.140,38.98
2021-08-13 00:39:39.100,26.59
2021-08-13 00:39:39.083,45.43
2021-08-13 00:39:39.073,115.9
2021-08-13 00:39:39.044,20.96
2021-08-13 00:39:38.982,37.07
2021-08-13 00:39:38.963,67.72
2021-08-13 00:39:38.957,17.39
2021-08-13 00:39:38.879,27.56
2021-08-13 00:39:38.838,31.58
2021-08-13 00:39:38.761,48.38
2021-08-13 00:39:38.729,28.35
2021-08-13 00:39:38.633,64.27
2021-08-13 00:39:38.373,26.01
2021-08-13 00:39:38.310,50.7
2021-08-13 00:39:38.254,22.02
2021-08-13 00:39:38.250,70.87
2021-08-13 00:39:38.122,31.09
2021-08-13 00:39:38.019,46.46
2021-08-13 00:39:37.996,40.12
2021-08-13 00:39:37.979,35.67
2021-08-13 00:39:37.960,21.84
2021-08-13 00:39:37.931,17.9
2021-08-13 00:39:37.819,29.05
2021-08-13 00:39:37.796,25.47
2021-08-13 00:39:37.706,81.57
2021-08-13 00:39:37.588,40.13
2021-08-13 00:39:37.578,25.58
2021-08-13 00:39:37.520,33.48
2021-08-13 00:39:37.518,68.65
2021-08-13 00:39:37.459,39.02
2021-08-13 00:39:37.386,19.45
2021-08-13 00:39:37.340,30.82
2021-08-13 00:39:37.299,41.3
2021-08-13 00:39:37.138,20.68
2021-08-13 00:39:37.058,53.92
2021-08-13 00:39:37.057,28.44
2021-08-13 00:39:37.050,44.89
2021-08-13 00:39:37.000,40.44
2021-08-13 00:39:36.991,39.37
2021-08-13 00:39:36.917,51.6
2021-08-13 00:39:36.916,37.62
2021-08-13 00:39:36.849,53.93
2021-08-13 00:39:36.804,45.96
2021-08-13 00:39:36.799,29.04
2021-08-13 00:39:36.790,34.84
2021-08-13 00:39:36.758,25.98
2021-08-13 00:39:36.621,50.7
2021-08-13 00:39:36.590,31.49
2021-08-13 00:39:36.441,51.38
2021-08-13 00:39:36.395,41.57
2021-08-13 00:39:36.342,24.14
2021-08-13 00:39:36.270,23.03
2021-08-13 00:39:36.138,30.67
2021-08-13 00:39:36.078,48.82
2021-08-13 00:39:36.017,36.28
2021-08-13 00:39:36.010,34.3
2021-08-13 00:39:35.956,18.18
2021-08-13 00:39:35.926,121.82
2021-08-13 00:39:35.802,23.84
2021-08-13 00:39:35.758,24.4
2021-08-13 00:39:35.719,21.7
2021-08-13 00:39:35.657,32.19
2021-08-13 00:39:35.588,20.73
2021-08-13 00:39:35.581,51.07
2021-08-13 00:39:35.471,29.6
2021-08-13 00:39:35.346,105.05
2021-08-13 00:39:35.341,37.19
2021-08-13 00:39:35.239,45.13
2021-08-13 00:39:35.238,21.43
2021-08-13 00:39:35.213,63.18
2021-08-13 00:39:35.097,78.28
2021-08-13 00:39:34.975,54.75
2021-08-13 00:39:34.952,17.77
2021-08-13 00:39:34.939,25.46
2021-08-13 00:39:34.879,40.72
2021-08-13 00:39:34.779,28.91
2021-08-13 00:39:34.678,22.82
2021-08-13 00:39:34.618,53.28
2021-08-13 00:39:34.590,33.02
2021-08-13 00:39:34.559,41.34
2021-08-13 00:39:34.398,32.18
2021-08-13 00:39:34.279,36.23
2021-08-13 00:39:34.199,23.98
2021-08-13 00:39:34.100,36.22
2021-08-13 00:39:34.013,113.27
2021-08-13 00:39:33.938,219.07
2021-08-13 00:39:33.937,18.28
2021-08-13 00:39:33.897,22.82
2021-08-13 00:39:33.838,42.72
2021-08-13 00:39:33.758,42.59
2021-08-13 00:39:33.711,18.41
2021-08-13 00:39:33.705,27.61
2021-08-13 00:39:33.613,47.56
2021-08-13 00:39:33.560,25.05
2021-08-13 00:39:33.538,34.39
2021-08-13 00:39:33.502,68.72
2021-08-13 00:39:33.293,25.99
2021-08-13 00:39:33.216,37.26
2021-08-13 00:39:33.190,18.92
2021-08-13 00:39:33.173,46.81
2021-08-13 00:39:33.011,38.56
2021-08-13 00:39:32.934,19.28
2021-08-13 00:39:32.933,92.02
2021-08-13 00:39:32.907,26.34
2021-08-13 00:39:32.885,21.03
2021-08-13 00:39:32.710,18.1
2021-08-13 00:39:32.708,38.12
2021-08-13 00:39:32.460,25.86
2021-08-13 00:39:32.402,31.11
2021-08-13 00:39:32.240,40.14
2021-08-13 00:39:32.201,26.98
2021-08-13 00:39:32.119,29.97
